injury_code,injury_name,model_type,feature,coefficient,abs_coefficient
0,Control,fs_model,Cytoplasm_Intensity_MADIntensity_ER,-1.1524828258234459,1.1524828258234459
0,Control,fs_model,Cytoplasm_Texture_SumAverage_ER_5_0,-1.06104449964531,1.06104449964531
0,Control,fs_model,Nuclei_Intensity_MinIntensity_AGP,-0.993741739915665,0.993741739915665
0,Control,fs_model,Cells_Intensity_IntegratedIntensity_AGP,-0.9802580045978438,0.9802580045978438
0,Control,fs_model,Nuclei_Intensity_IntegratedIntensityEdge_AGP,-0.960757040371939,0.960757040371939
0,Control,fs_model,Cytoplasm_Intensity_MADIntensity_RNA,-0.8850678940749995,0.8850678940749995
0,Control,fs_model,Nuclei_Intensity_MinIntensity_ER,0.8374216723300225,0.8374216723300225
0,Control,fs_model,Cytoplasm_Intensity_IntegratedIntensityEdge_AGP,-0.7281368478839783,0.7281368478839783
0,Control,fs_model,Nuclei_Intensity_IntegratedIntensityEdge_Mito,-0.6744703080534413,0.6744703080534413
0,Control,fs_model,Cells_Intensity_MeanIntensity_RNA,0.49369304898445543,0.49369304898445543
0,Control,fs_model,Cells_Intensity_MinIntensityEdge_Mito,0.49326350758105164,0.49326350758105164
0,Control,fs_model,Cells_RadialDistribution_RadialCV_RNA_4of4,-0.4879895347665121,0.4879895347665121
0,Control,fs_model,Nuclei_Intensity_MaxIntensity_RNA,0.4875462902417581,0.4875462902417581
0,Control,fs_model,Cytoplasm_Intensity_MeanIntensityEdge_RNA,0.45922762392027083,0.45922762392027083
0,Control,fs_model,Nuclei_Texture_Correlation_ER_10_0,0.4553911487144947,0.4553911487144947
0,Control,fs_model,Nuclei_Intensity_StdIntensityEdge_ER,0.4541219767911436,0.4541219767911436
0,Control,fs_model,Cytoplasm_Texture_InfoMeas2_AGP_5_0,-0.4245034989116415,0.4245034989116415
0,Control,fs_model,Cells_Intensity_StdIntensityEdge_ER,-0.30388825467335523,0.30388825467335523
0,Control,fs_model,Nuclei_RadialDistribution_RadialCV_ER_4of4,0.25846522426562013,0.25846522426562013
0,Control,fs_model,Cytoplasm_Texture_SumAverage_AGP_5_0,-0.2571126906452853,0.2571126906452853
0,Control,fs_model,Cells_Texture_InfoMeas2_DNA_5_0,0.2424653944833044,0.2424653944833044
0,Control,fs_model,Cytoplasm_Texture_SumAverage_DNA_5_0,0.227416201927431,0.227416201927431
0,Control,fs_model,Cells_Texture_Correlation_ER_5_0,0.22006089570228404,0.22006089570228404
0,Control,fs_model,Nuclei_Intensity_MADIntensity_Mito,-0.21405742498468697,0.21405742498468697
0,Control,fs_model,Cytoplasm_Texture_Correlation_ER_5_0,0.14208689712100123,0.14208689712100123
0,Control,fs_model,Cytoplasm_Intensity_StdIntensity_DNA,0.07893542291651584,0.07893542291651584
0,Control,fs_model,Nuclei_Texture_InfoMeas1_ER_20_0,-0.05019384028856573,0.05019384028856573
0,Control,fs_model,Nuclei_Texture_AngularSecondMoment_DNA_10_0,-0.05006646146610859,0.05006646146610859
0,Control,fs_model,Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,-0.03956360657786786,0.03956360657786786
0,Control,fs_model,Cells_Intensity_MaxIntensityEdge_Mito,-0.004222008853240833,0.004222008853240833
0,Control,fs_model,Nuclei_AreaShape_Zernike_6_4,0.0,0.0
0,Control,fs_model,Nuclei_AreaShape_Zernike_6_0,0.0,0.0
0,Control,fs_model,Cytoplasm_Texture_Correlation_AGP_5_0,0.0,0.0
0,Control,fs_model,Nuclei_AreaShape_Zernike_6_6,0.0,0.0
0,Control,fs_model,Nuclei_AreaShape_Zernike_7_1,0.0,0.0
0,Control,fs_model,Nuclei_AreaShape_Zernike_8_8,0.0,0.0
0,Control,fs_model,Nuclei_AreaShape_Zernike_7_5,0.0,0.0
0,Control,fs_model,Nuclei_AreaShape_Zernike_8_0,0.0,0.0
